nationality,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Italy,455.0,2.2963561118401135,843,2.8818542321892524,777.0,3.437292634372926,483.0,3.100924499229584,350.0,2.597595368858542,937,3.523483623509946,471.0,2.8988183161004435,460,2.887089688068788,303.0,3.1487062246700614,231.0,2.1315862323521277,968,3.175957216444109,153.0,2.6207605344295994,962,3.838174273858921,462,2.9947494652233084,397.0,2.8594065110919042,486.0,2.8394484692685205,171.0,2.6043253122144385,269.0,3.0265526552655264,460.0,2.891445093971965,406.0,2.5516937967443907,3.055075825580502,Music,Rapper,Person
Dominican Republic,629.0,3.1745230644998492,995,3.401476822097634,628.0,2.7781464277814636,383.0,2.4589111453518235,424.0,3.146801246845777,639,2.4028879780393337,489.0,3.0096011816839003,395,2.4791313625808074,207.0,2.1510963317052894,238.0,2.196179754544616,812,2.664129400570885,267.0,4.573484069886948,546,2.178423236514522,279,1.8085175341932966,380.0,2.736963411120714,463.0,2.7050712783360598,281.0,4.279622296679865,285.0,3.206570657065707,541.0,3.400590860519203,488.0,3.0670605241656714,2.9010637951725333,Music,Rapper,Person
Philippines,727.0,3.6691228424346427,703,2.4032544783262684,302.0,1.3359876133598758,650.0,4.173086800205445,127.0,0.9425560338429568,869,3.2677772346106115,192.0,1.1816838995568686,343,2.152764702190422,132.0,1.3717136028265613,96.0,0.885854018639845,574,1.883263886610453,74.0,1.2675573826652962,465,1.8552505585700603,311,2.0159460685810586,476.0,3.4284067991933154,315.0,1.8403832671184857,81.0,1.2336277794699968,103.0,1.158865886588659,185.0,1.162863787793073,342.0,2.1494563509521716,2.5059182721468574,Music,Rapper,Person
France,293.0,1.478752397294842,493,1.6853548475317928,442.0,1.955319619553196,323.0,2.073703133025167,190.0,1.4101232002374942,587,2.2073477982927843,299.0,1.8402264894140814,268,1.6820435573965984,167.0,1.7354255429699679,195.0,1.7993909753621855,625,2.050592211030545,97.0,1.661527920520726,662,2.641238429620172,382,2.4761781292539045,314.0,2.2615960818208007,254.0,1.4839915868193503,104.0,1.5839171489491317,182.0,2.047704770477048,264.0,1.6594380539317368,313.0,1.9671925083275723,1.986218911226516,Music,Rapper,Person
China,251.0,1.2667810638942163,217,0.7418296184876249,281.0,1.243087812430878,212.0,1.3610683102208527,110.0,0.8163871159269704,359,1.3499793178656039,143.0,0.8801083210241262,223,1.3996108705203036,180.0,1.8705185493089476,87.0,0.8028052043923597,542,1.778273565405689,251.0,4.299417608770127,567,2.2622087456112348,188,1.2186426395280998,213.0,1.5341400172860846,297.0,1.7352185089974295,74.0,1.1270179713676518,106.0,1.1926192619261928,213.0,1.3388647935131055,413.0,2.5956885173779143,1.7251158947237801,Music,Rapper,Person
India,383.0,1.9329766831533257,411,1.4050321345549022,318.0,1.406768414067684,168.0,1.078582434514638,156.0,1.1577853644055218,362,1.3612604820817509,190.0,1.169374692269818,348,2.184146111843344,194.0,2.01600332536631,116.0,1.0704069391898128,676,2.217920535450638,132.0,2.2610483042137712,576,2.298116820938397,259,1.6788747002009454,141.0,1.0155574762316335,290.0,1.6943211030614629,86.0,1.3097776424002439,114.0,1.2826282628262828,206.0,1.2948645420830973,277.0,1.7409339450694488,1.7242242638412597,Music,Rapper,Person
Germany,251.0,1.2667810638942163,454,1.5520306303842475,393.0,1.7385534173855337,244.0,1.566512583461736,171.0,1.2691108802137447,517,1.9441206332493515,285.0,1.7540620384047265,253,1.5878993284378335,151.0,1.569157227475839,141.0,1.3010980898772726,490,1.607664293447948,73.0,1.250428228845495,595,2.3739227577401842,271,1.7566604005963566,269.0,1.9374819936617689,276.0,1.61252629118953,81.0,1.2336277794699968,147.0,1.653915391539154,231.0,1.4520082971902695,230.0,1.4455408208157878,1.6978073569264314,Music,Rapper,Person
Colombia,341.0,1.7210053497527005,445,1.5212635033501982,252.0,1.114797611147976,390.0,2.5038520801232664,159.0,1.1800504675671664,575,2.1622231414281954,188.0,1.157065484982767,256,1.6067281742295862,115.0,1.1950535176140495,99.0,0.9135369567223405,472,1.5486072377702682,156.0,2.672147995889003,310,1.2368337057133736,218,1.413106890516626,234.0,1.685393258426966,197.0,1.1509698527693386,56.0,0.8528784648187633,114.0,1.2826282628262828,189.0,1.1880067886102206,328.0,2.061466909685124,1.6419231534300192,Music,Rapper,Person
Ukraine,270.0,1.3626728575754519,421,1.439217831259401,237.0,1.048440610484406,281.0,1.8040575243965078,129.0,0.9573994359507199,391,1.470311736171173,157.0,0.966272772033481,258,1.6192807380907548,145.0,1.5068066091655408,96.0,0.885854018639845,400,1.3123790150595491,101.0,1.7300445357999312,602,2.4018512607724225,334,2.1650353276722623,371.0,2.672140593488908,213.0,1.2444496377658332,73.0,1.1117879987816022,90.0,1.0126012601260128,196.0,1.2320070400402288,198.0,1.244422097919678,1.6292515558201703,Music,Rapper,Person
Ireland,225.0,1.1355607146462097,633,2.1639546013947766,257.0,1.1369166113691658,307.0,1.970980996404725,121.0,0.8980258275196675,417,1.568081826044448,142.0,0.8739537173806008,213,1.3368480512144607,142.0,1.4756313000103918,85.0,0.784349912337363,390,1.2795695396830604,60.0,1.0277492291880779,499,1.990903287583785,284,1.8409282426913844,244.0,1.7574186113511951,229.0,1.3379294227623275,62.0,0.9442583003350593,90.0,1.0126012601260128,148.0,0.9302910302344582,159.0,0.9993086543900446,1.5357133091580932,Music,Rapper,Person
Kenya,212.0,1.0699505400222067,306,1.0460823191576645,371.0,1.6412298164122978,81.0,0.5200308166409862,190.0,1.4101232002374942,174,0.6543075245365323,308.0,1.8956179222058098,250,1.5690704826460806,179.0,1.8601267795905645,258.0,2.380732675094584,399,1.3090980675219002,98.0,1.6786570743405276,319,1.272741781040536,257,1.6659104168017105,130.0,0.9363295880149811,318.0,1.8579107268053285,97.0,1.4773073408467867,152.0,1.7101710171017102,225.0,1.4142937959645483,231.0,1.4518257809062913,1.491412798051797,Music,Rapper,Person
