jobs,latto_count,latto_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Teacher,35.0,1.3586956521739124,703,1.691408223660467,227.0,2.812538718870029,711,1.9052467977919498,456,1.7401259301659988,213.0,1.0485895731797372,424.0,1.3732348749838066,116.0,0.9540258244921458,103.0,0.6814873627100702,234,0.7901934960996861,478.0,2.2339580314997427,1.6925370521225709,Music,Rapper,Person
Director,25.0,0.9704968944099375,614,1.4772754613478334,79.0,0.9788130343204064,826,2.2134090787287635,581,2.2171341347071163,314.0,1.5458081031851525,440.0,1.4250550589454594,114.0,0.9375771033802123,198.0,1.310043668122271,297,1.0029378988957554,198.0,0.9253633686965462,1.6507980265918536,Music,Rapper,Person
Streamer,10.0,0.388198757763975,521,1.253518754661598,55.0,0.6814521125015488,530,1.4202261643174876,356,1.3585193665331041,643.0,3.1654605425097224,393.0,1.2728332685581034,155.0,1.27477588617485,142.0,0.9395262670371842,364,1.2291898828217338,125.0,0.5841940458942843,1.614409488541389,Music,Rapper,Person
Influencer,38.0,1.475155279503105,546,1.3136684069966076,128.0,1.5859249163672409,377,1.0102363470711184,238,0.9082236214462888,161.0,0.7925958745630877,347.0,1.1238502396683507,192.0,1.5790772267456203,186.0,1.2306470821754667,459,1.5499949346570765,350.0,1.6357433285039962,1.292838702402273,Music,Rapper,Person
Author,34.0,1.319875776397515,501,1.2053990327935904,117.0,1.4496344938669312,554,1.4845382925129962,368,1.4043121541690513,189.0,0.930438635356668,373.0,1.208058038606037,104.0,0.8553334978205445,132.0,0.8733624454148473,227,0.766555229122345,279.0,1.3039211104360424,1.2251939257362516,Music,Rapper,Person
Chef,35.0,1.3586956521739124,500,1.20299304670019,116.0,1.4372444554578119,354,0.9486038908837557,285,1.087578706353749,189.0,0.930438635356668,365.0,1.1821479466252107,130.0,1.0691668722756806,149.0,0.9858409421728201,318,1.0738526998277786,305.0,1.4254334719820536,1.1402032777031743,Music,Rapper,Person
Developer,12.0,0.46583850931676996,422,1.0153261314149604,46.0,0.5699417668194772,605,1.6212015649284526,335,1.2783819881701963,190.0,0.935361591099296,301.0,0.9748672107785985,76.0,0.6250514022534748,107.0,0.707952891359005,231,0.7800628102522542,130.0,0.6075618077300556,1.1091430006250185,Music,Rapper,Person
Fortnie,13.0,0.5046583850931675,447,1.07547578374997,77.0,0.9540329575021683,334,0.8950104507208315,182,0.6945239458118678,235.0,1.1568945995175504,196.0,0.6347972535302501,155.0,1.27477588617485,132.0,0.8733624454148473,440,1.4858339242900078,134.0,0.6262560171986727,1.037503390819306,Music,Rapper,Person
Host,31.0,1.2034161490683224,415,0.9984842287611576,63.0,0.7805724197745013,442,1.1844150276006216,350,1.3356229727151305,200.0,0.9845911485255747,322.0,1.042881202228268,83.0,0.6826219261452421,139.0,0.9196771205504831,213,0.719278695167663,179.0,0.836565873720615,1.030776680577946,Music,Rapper,Person
Comedian,26.0,1.009316770186335,376,0.9046507711185429,107.0,1.3257341097757402,292,0.7824642263786912,204,0.7784773898111046,176.0,0.8664402107025058,263.0,0.8517942738696722,126.0,1.0362694300518134,112.0,0.7410348021701736,289,0.9759227366359371,329.0,1.537598728793756,0.9884896900597168,Music,Rapper,Person
Youtuber,14.0,0.5434782608695651,378,0.9094627433053438,61.0,0.7557923429562632,360,0.964681922932633,220,0.8395344399923677,261.0,1.2848914488258751,243.0,0.7870190439176059,114.0,0.9375771033802123,106.0,0.7013365091967713,264,0.8915003545740048,137.0,0.6402766743001356,0.9084215793134309,Music,Rapper,Person
Management,19.0,0.7375776397515525,385,0.9263046459591464,46.0,0.5699417668194772,390,1.045072083177019,237,0.9044075558099597,116.0,0.5710628661448334,247.0,0.7999740899080192,101.0,0.8306604161526441,117.0,0.774116712981342,211,0.7125249046027085,158.0,0.7384212740103753,0.8505672691585451,Music,Rapper,Person
Journalist,26.0,1.009316770186335,308,0.7410437167673171,62.0,0.7681823813653823,383,1.0263143791199958,263,1.0036252623545123,154.0,0.7581351843646925,213.0,0.6898561989895066,63.0,0.5181347150259067,66.0,0.43668122270742366,108,0.36470469050754734,201.0,0.9393840257980091,0.818897017822681,Music,Rapper,Person
Educator,34.0,1.319875776397515,281,0.6760820922455067,58.0,0.7186222277289059,315,0.8440966825660537,241,0.9196718183552756,101.0,0.4972185300054152,215.0,0.6963337219847132,51.0,0.41944238835430536,50.0,0.3308191081116846,129,0.43561949143957046,159.0,0.7430948263775295,0.719875537036324,Music,Rapper,Person
Traveling,24.0,0.9316770186335399,254,0.6111204677236964,58.0,0.7186222277289059,216,0.5788091537595798,144,0.5495134516313679,76.0,0.37414463643971835,177.0,0.5732607850757871,67.0,0.5510321572497738,85.0,0.5623924837898638,152,0.5132880829365482,172.0,0.803851007150535,0.5995259505447299,Music,Rapper,Person
Attorney,14.0,0.5434782608695651,244,0.5870606067896929,54.0,0.6690620740924298,300,0.8039016024438607,163,0.6220186987216179,84.0,0.4135282823807414,118.0,0.38217385671719145,28.0,0.23028209556706963,55.0,0.36390101892285304,82,0.2769054131631378,118.0,0.5514791793242044,0.5742988070662788,Music,Rapper,Person
Blogger,13.0,0.5046583850931675,214,0.5148810239876814,43.0,0.5327716515921199,162,0.43410686531968484,117,0.4464796794504865,54.0,0.26583961010190515,150.0,0.48581422464049756,58.0,0.4770129122460729,65.0,0.43006484054519,138,0.4660115489818661,134.0,0.6262560171986727,0.481963458263884,Music,Rapper,Person
Creative Director,3.0,0.11645962732919249,115,0.27668840074104367,4.0,0.04956015363647628,197,0.5278953856048019,98,0.37397443236023653,108.0,0.5316792202038103,65.0,0.21051949734421557,28.0,0.23028209556706963,46.0,0.3043535794627498,75,0.25326714618579677,20.0,0.09347104734308549,0.3760598343459145,Music,Rapper,Person
Real Estate,11.0,0.4270186335403725,140,0.3368380530760532,22.0,0.27258084500061946,152,0.4073101452382228,69,0.2633085289066971,23.0,0.11322798208044109,93.0,0.3012048192771085,53.0,0.435891109466239,42.0,0.27788805081381507,75,0.25326714618579677,82.0,0.38323129410665047,0.33299286398631145,Music,Rapper,Person
Stylist,15.0,0.5822981366459624,109,0.26225248418064145,25.0,0.3097509602279767,84,0.225092448684281,53,0.20225147872543403,47.0,0.23137891990351012,75.0,0.24290711232024878,29.0,0.23850645612303645,45.0,0.2977371973005161,104,0.3511971093776382,70.0,0.3271486657007992,0.27976138815992624,Music,Rapper,Person
Economist,1.0,0.0388198757763975,118,0.28390635902124484,30.0,0.3717011522735721,111,0.29744359290422845,86,0.3281816447242891,26.0,0.1279968493083247,85.0,0.2752947272962819,24.0,0.19738465334320254,23.0,0.1521767897313749,50,0.16884476412386454,71.0,0.33182221806795353,0.27663607760388076,Music,Rapper,Person
Psychology,7.0,0.27173913043478254,107,0.2574405119938407,22.0,0.27258084500061946,127,0.34031834503456776,84,0.3205495134516313,44.0,0.21661005267562644,70.0,0.22671330483223215,19.0,0.1562628505633687,21.0,0.13894402540690753,36,0.12156823016918246,47.0,0.21965696125625087,0.2595541131011857,Music,Rapper,Person
Make Up Artist,20.0,0.77639751552795,78,0.18766691528522964,21.0,0.26019080659150046,37,0.09914786430140951,13,0.04960885327227627,25.0,0.12307389356569684,40.0,0.1295504599041327,30.0,0.2467308166790032,31.0,0.20510784702924448,67,0.22625198392597848,69.0,0.3224751133336449,0.23056186067184833,Music,Rapper,Person
Animation,1.0,0.0388198757763975,49,0.11789331857661861,8.0,0.09912030727295255,80,0.21437376065169622,58,0.22133180690707874,54.0,0.26583961010190515,33.0,0.10687912942090945,4.0,0.03289744222386709,13.0,0.086012968109038,23,0.07766859149697769,20.0,0.09347104734308549,0.17313005165877154,Music,Rapper,Person
Brand Ambassador,10.0,0.388198757763975,65,0.15638909607102472,13.0,0.16107049931854792,46,0.12326491237472532,33,0.12593016599885515,18.0,0.08861320336730172,52.0,0.1684155978753725,20.0,0.16448721111933548,32.0,0.2117242291914781,53,0.1789754499712964,33.0,0.15422722811609105,0.1625595798494709,Music,Rapper,Person
Contractor,7.0,0.27173913043478254,68,0.16360705435122583,19.0,0.2354107297732623,46,0.12326491237472532,34,0.12974623163518412,12.0,0.059075468911534486,46.0,0.14898302888975257,27.0,0.22205773501110287,13.0,0.086012968109038,42,0.14182960186404622,44.0,0.20563630415478804,0.1599511406903278,Music,Rapper,Person
Architect,1.0,0.0388198757763975,51,0.12270529076341939,10.0,0.1239003840911907,58,0.15542097647247977,45,0.17172295363480247,23.0,0.11322798208044109,29.0,0.09392408343049619,7.0,0.05757052389176741,12.0,0.0793965859468043,27,0.09117617262688683,30.0,0.14020657101462825,0.12842829894845045,Music,Rapper,Person
Screenwriter,3.0,0.11645962732919249,34,0.08180352717561291,2.0,0.02478007681823814,33,0.08842917626882468,46,0.1755390192711314,27.0,0.13291980505095258,32.0,0.10364036792330615,6.0,0.049346163335800636,7.0,0.04631467513563585,6,0.020261371694863747,18.0,0.08412394260877692,0.10904029007453782,Music,Rapper,Person
Digital Creator,1.0,0.0388198757763975,43,0.10345740201621635,7.0,0.08673026886383349,49,0.13130392839916394,24,0.09158557527189465,20.0,0.09845911485255746,32.0,0.10364036792330615,11.0,0.09046796611563451,12.0,0.0793965859468043,30,0.10130685847431872,15.0,0.07010328550731412,0.10266754962571677,Music,Rapper,Person
Actor,2.0,0.077639751552795,14,0.03368380530760531,2.0,0.02478007681823814,35,0.0937885202851171,25,0.0954016409082236,30.0,0.1476886722788362,12.0,0.038865137971239805,2.0,0.016448721111933545,4.0,0.026465528648934762,3,0.010130685847431873,8.0,0.03738841893723419,0.08546972958841585,Music,Rapper,Person
Executive Director,2.0,0.077639751552795,16,0.038495777494406073,3.0,0.037170115227357206,29,0.07771048823623988,23,0.0877695096355657,6.0,0.029537734455767243,14.0,0.04534266096644644,2.0,0.016448721111933545,4.0,0.026465528648934762,11,0.037145848107250204,6.0,0.028041314202925643,0.05760914310904218,Music,Rapper,Person
Singer-Songwriter,3.0,0.11645962732919249,14,0.03368380530760531,4.0,0.04956015363647628,14,0.03751540811404684,12,0.045792787635947324,12.0,0.059075468911534486,18.0,0.0582977069568597,3.0,0.024673081667900318,5.0,0.03308191081116845,6,0.020261371694863747,12.0,0.056082628405851286,0.047438590857561275,Music,Rapper,Person
co-host,1.0,0.0388198757763975,13,0.031277819214204944,3.0,0.037170115227357206,21,0.05627311217107025,11,0.04197672199961838,14.0,0.06892138039679023,15.0,0.04858142246404975,3.0,0.024673081667900318,4.0,0.026465528648934762,6,0.020261371694863747,6.0,0.028041314202925643,0.04498700315807626,Music,Rapper,Person
Life Coach,2.0,0.077639751552795,19,0.04571373577460722,2.0,0.02478007681823814,13,0.03483573610590064,5,0.01908032818164472,8.0,0.03938364594102299,12.0,0.038865137971239805,8.0,0.06579488444773418,5.0,0.03308191081116845,11,0.037145848107250204,12.0,0.056082628405851286,0.043056517212528664,Music,Rapper,Person
Radio,2.0,0.077639751552795,19,0.04571373577460722,,,17,0.04555442413848545,8,0.030528525090631555,4.0,0.019691822970511495,10.0,0.03238761497603317,2.0,0.016448721111933545,7.0,0.04631467513563585,8,0.027015162259818322,8.0,0.03738841893723419,0.03902901356817115,Music,Rapper,Person
Patron,1.0,0.0388198757763975,10,0.0240598609340038,,,9,0.024117048073315824,3,0.011448196908986831,2.0,0.009845911485255748,3.0,0.009716284492809951,4.0,0.03289744222386709,4.0,0.026465528648934762,9,0.030392057542295615,8.0,0.03738841893723419,0.026221602600413608,Music,Rapper,Person
Exhibitionist,1.0,0.0388198757763975,1,0.0024059860934003796,3.0,0.037170115227357206,2,0.005359344016292405,2,0.007632131272657889,3.0,0.014768867227883621,1.0,0.003238761497603317,,,2.0,0.013232764324467381,1,0.0033768952824772902,2.0,0.009347104734308548,0.015266730817280744,Music,Rapper,Person
