city,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Brooklyn,213.0,5.245013543462202,221.0,3.660758654961073,243.0,5.185659411011525,61.0,3.3964365256124722,152.0,4.296212549462973,151.0,4.519604908709967,175.0,5.128956623681127,133,5.223880597014923,96.0,4.892966360856269,147.0,5.7109557109557105,255.0,5.684351315202853,42.0,6.131386861313868,165.0,4.704875962360992,142.0,6.060606060606061,87.0,4.540709812108559,165.0,5.3798500163025755,96.0,5.411499436302143,89.0,4.3245869776482015,207.0,4.941513487705896,143.0,6.723084156088387,5.077411598168895,Music,Rapper,Person
DMV,126.0,3.102684067963556,151.0,2.501242338910055,173.0,3.6918480580452413,45.0,2.5055679287305126,95.0,2.685132843414358,70.0,2.0951810835079314,125.0,3.663540445486518,73,2.8672427336999204,34.0,1.7329255861365953,62.0,2.4087024087024083,120.0,2.6749888542131073,19.0,2.773722627737226,74.0,2.110065583119476,75.0,3.201024327784892,63.0,3.2881002087682667,106.0,3.45614607107923,63.0,3.5512965050732817,73.0,3.547133138969874,132.0,3.1511100501312965,49.0,2.30371415138693,2.9816264079348054,Music,Rapper,Person
Queens,145.0,3.570549125831076,125.0,2.0705648500911047,108.0,2.3047375160051216,71.0,3.953229398663697,68.0,1.921989824759751,105.0,3.1427716252618976,50.0,1.4654161781946073,63,2.474469756480753,56.0,2.854230377166157,62.0,2.4087024087024083,118.0,2.6304057066428888,28.0,4.087591240875913,88.0,2.5092671799258626,65.0,2.7742210840802395,48.0,2.5052192066805845,80.0,2.6084121291164,39.0,2.1984216459977453,38.0,1.8464528668610303,88.0,2.100740033420865,101.0,4.7484720263281615,2.7687157857163482,Music,Rapper,Person
Cleveland,84.0,2.068456045309037,196.0,3.2466456849428527,113.0,2.411438326931285,36.0,2.0044543429844097,92.0,2.600339174674957,66.0,1.9754564501646212,75.0,2.1981242672919112,73,2.8672427336999204,68.0,3.4658511722731906,58.0,2.2533022533022526,119.0,2.652697280427998,12.0,1.7518248175182483,94.0,2.6803535785571717,62.0,2.646180110968843,37.0,1.9311064718162838,91.0,2.9670687968699054,34.0,1.9165727170236755,48.0,2.3323615160349855,101.0,2.4110766292671286,27.0,1.2693935119887163,2.566599728186813,Music,Rapper,Person
Bronx,83.0,2.0438315685791677,89.0,1.4742421732648665,109.0,2.3260776781903543,30.0,1.670378619153675,63.0,1.7806670435274163,64.0,1.915594133492966,74.0,2.1688159437280192,55,2.1602513747054193,36.0,1.834862385321101,75.0,2.9137529137529135,106.0,2.3629068212215785,19.0,2.773722627737226,62.0,1.7678927858568578,57.0,2.4327784891165174,43.0,2.244258872651357,75.0,2.4453863710466246,39.0,2.1984216459977453,43.0,2.0894071914480077,73.0,1.742659345905944,54.0,2.5387870239774326,2.1412469504782523,Music,Rapper,Person
Baltimore,95.0,2.339325289337602,90.0,1.4908066920655956,100.0,2.134016218523261,23.0,1.2806236080178175,92.0,2.600339174674957,48.0,1.4366956001197246,80.0,2.3446658851113718,51,2.0031421838177526,51.0,2.5993883792048926,67.0,2.6029526029526027,76.0,1.694159607668301,10.0,1.4598540145985401,52.0,1.48274878813801,40.0,1.7072129748186091,38.0,1.9832985386221291,62.0,2.02151940006521,39.0,2.1984216459977453,43.0,2.0894071914480077,112.0,2.673669133444736,37.0,1.739539257169722,2.1003314584329114,Music,Rapper,Person
Tampa,52.0,1.2804727899532136,105.0,1.739274474076528,73.0,1.5578318395219803,30.0,1.670378619153675,90.0,2.5438100621820237,58.0,1.7360071834780004,47.0,1.3774912075029309,52,2.0424194815396692,43.0,2.1916411824668702,54.0,2.0979020979020975,92.0,2.0508247882300488,11.0,1.6058394160583942,59.0,1.682349586541203,46.0,1.9632949210414004,33.0,1.7223382045929017,51.0,1.6628627323117051,35.0,1.9729425028184893,27.0,1.3119533527696794,63.0,1.5039388875626643,29.0,1.3634226610249176,1.8071091383386826,Music,Rapper,Person
Tennessee,66.0,1.6252154641713863,118.0,1.9546132184860034,89.0,1.8992744344857024,41.0,2.2828507795100226,53.0,1.4980214810627472,63.0,1.8856629751571388,61.0,1.7878077373974213,53,2.081696779261586,31.0,1.5800203873598369,40.0,1.554001554001554,81.0,1.805617476593847,8.0,1.167883211678832,56.0,1.5968063872255491,34.0,1.4511310285958174,26.0,1.356993736951983,50.0,1.6302575806977502,27.0,1.5219842164599775,37.0,1.7978620019436347,81.0,1.933635712580568,41.0,1.9275975552421247,1.7837903020622108,Music,Rapper,Person
New Orleans,73.0,1.7975868012804728,76.0,1.2589034288553917,64.0,1.365770379854887,19.0,1.0579064587973277,61.0,1.7241379310344827,41.0,1.2271774917689313,54.0,1.582649472450176,35,1.374705420267085,71.0,3.618756371049948,60.0,2.3310023310023307,58.0,1.2929112795363351,6.0,0.8759124087591241,50.0,1.4257199885942402,32.0,1.365770379854887,28.0,1.4613778705636742,50.0,1.6302575806977502,23.0,1.2965050732807217,45.0,2.186588921282799,62.0,1.4800668417283362,39.0,1.8335684062059234,1.7206147712038973,Music,Rapper,Person
Tokyo,61.0,1.5020930805220392,52.0,0.8613549776378997,59.0,1.259069568928724,51.0,2.839643652561247,18.0,0.5087620124364047,74.0,2.2149057168512423,36.0,1.0550996483001176,22,0.8641005498821677,10.0,0.509683995922528,9.0,0.3496503496503496,52.0,1.1591618368256797,10.0,1.4598540145985401,66.0,1.881950384944397,45.0,1.920614596670935,54.0,2.8183716075156577,29.0,0.9455493968046951,10.0,0.56369785794814,29.0,1.4091350826044706,43.0,1.0264979708761042,25.0,1.175364362952515,1.5615537144856848,Music,Rapper,Person
Connecticut,43.0,1.058852499384388,111.0,1.8386615868809013,65.0,1.3871105420401197,28.0,1.55902004454343,35.0,0.9892594686263425,41.0,1.2271774917689313,40.0,1.1723329425556859,36,1.4139827179890019,23.0,1.1722731906218145,34.0,1.3209013209013207,60.0,1.3374944271065536,6.0,0.8759124087591241,68.0,1.9389791844881665,36.0,1.5364916773367479,32.0,1.6701461377870566,42.0,1.36941636778611,26.0,1.4656144306651637,29.0,1.4091350826044706,51.0,1.2174743375507282,29.0,1.3634226610249176,1.4398512004173187,Music,Rapper,Person
Nashville,43.0,1.058852499384388,96.0,1.5901938048699686,47.0,1.0029876227059327,20.0,1.11358574610245,39.0,1.10231769361221,32.0,0.957797066746483,39.0,1.1430246189917936,30,1.1783189316575016,24.0,1.2232415902140672,19.0,0.7381507381507381,44.0,0.980829246544806,9.0,1.313868613138686,35.0,0.998003992015968,24.0,1.0243277848911652,22.0,1.1482254697286012,43.0,1.402021519400065,17.0,0.9582863585118377,19.0,0.9232264334305151,52.0,1.2413463833850562,16.0,0.7522331922896097,1.156735212436388,Music,Rapper,Person
Detroit,10.0,0.2462447672986949,11.0,0.18220970680801726,10.0,0.21340162185232608,2.0,0.11135857461024498,8.0,0.22611644997173547,4.0,0.11972463334331038,10.0,0.29308323563892147,6,0.23566378633150029,1.0,0.0509683995922528,3.0,0.11655011655011653,5.0,0.11145786892554613,2.0,0.291970802919708,5.0,0.14257199885942404,3.0,0.12804097311139565,3.0,0.15657620041753653,7.0,0.228236061297685,4.0,0.225479143179256,3.0,0.1457725947521866,10.0,0.23872045834328004,7.0,0.3291020216267042,0.21221491016328956,Music,Rapper,Person
Louisiana,4.0,0.09849790691947796,2.0,0.033129037601457675,9.0,0.19206145966709348,,,9.0,0.25438100621820237,1.0,0.029931158335827594,4.0,0.1172332942555686,3,0.11783189316575014,3.0,0.1529051987767584,5.0,0.19425019425019424,7.0,0.15604101649576457,2.0,0.291970802919708,2.0,0.05702879954376961,5.0,0.21340162185232614,,,4.0,0.13042060645582,5.0,0.28184892897407,3.0,0.1457725947521866,6.0,0.14323227500596802,2.0,0.09402914903620122,0.17149407514476878,Music,Rapper,Person
Lansing,1.0,0.02462447672986949,6.0,0.09938711280437304,5.0,0.10670081092616304,,,5.0,0.14132278123233463,1.0,0.029931158335827594,5.0,0.14654161781946073,5,0.1963864886095836,3.0,0.1529051987767584,7.0,0.2719502719502719,4.0,0.0891662951404369,1.0,0.145985401459854,3.0,0.08554319931565442,4.0,0.17072129748186088,1.0,0.05219206680584552,3.0,0.097815454841865,3.0,0.16910935738444197,3.0,0.1457725947521866,11.0,0.2625925041776081,2.0,0.09402914903620122,0.16132917543116782,Music,Rapper,Person
Caracas,3.0,0.07387343018960846,1.0,0.016564518800728838,4.0,0.08536064874093044,3.0,0.1670378619153675,1.0,0.028264556246466933,6.0,0.17958695001496558,1.0,0.02930832356389215,4,0.15710919088766684,,,1.0,0.03885003885003884,6.0,0.13374944271065536,2.0,0.291970802919708,8.0,0.22811519817507844,2.0,0.08536064874093044,3.0,0.15657620041753653,2.0,0.06521030322791,,,,,,,4.0,0.18805829807240243,0.1493644297522375,Music,Rapper,Person
Lake Tahoe,1.0,0.02462447672986949,1.0,0.016564518800728838,,,1.0,0.05567928730512249,,,1.0,0.029931158335827594,,,2,0.07855459544383342,1.0,0.0509683995922528,1.0,0.03885003885003884,2.0,0.04458314757021845,,,1.0,0.028514399771884805,2.0,0.08536064874093044,1.0,0.05219206680584552,,,,,1.0,0.04859086491739552,,,,,0.050860799641262035,Music,Rapper,Person
