interests,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Photography,140.0,2.5152712899748475,198.0,3.303303303303303,174.0,2.3324396782841825,304.0,3.3428634264350117,466.0,1.7092136150234742,344,1.646720919100048,141.0,2.7162396455403575,290.0,1.6858504825020346,199.0,1.878421748159335,287.0,1.5831862312444833,432.0,1.8552716340992055,2.115219063263224,Retail,Luxury Retail,Company
Podcast,224.0,4.024434063959756,148.0,2.4691358024691357,156.0,2.0911528150134044,347.0,3.8157026610952265,198.0,0.7262323943661972,148,0.7084729535662997,118.0,2.2731650934309378,96.0,0.5580746424834322,59.0,0.556919010760808,116.0,0.6398940864960281,166.0,0.712905303843676,2.0906862982300725,Retail,Luxury Retail,Company
Nature Lover,40.0,0.7186489399928137,48.0,0.8008008008008007,44.0,0.5898123324396783,56.0,0.6157906311853968,544.0,1.9953051643192488,424,2.029679272379129,117.0,2.2539009824696588,287.0,1.6684106499244276,259.0,2.4447800641872752,386.0,2.129302736098852,472.0,2.0270560446639463,1.9529585551765427,Retail,Luxury Retail,Company
Health,198.0,3.557312252964427,100.0,1.668335001668335,80.0,1.0723860589812335,172.0,1.891356938640862,431.0,1.5808392018779345,414,1.9818094782192441,163.0,3.1400500866884986,323.0,1.8776886408557143,199.0,1.878421748159335,276.0,1.5225066195939976,391.0,1.6791926132703452,1.948671309143666,Retail,Luxury Retail,Company
Bitcoin Enthusiast,8.0,0.1437297879985627,88.0,1.4681348014681348,124.0,1.6621983914209117,135.0,1.4844952716076532,402.0,1.4744718309859155,137,0.6558161799904262,281.0,5.413215180119437,98.0,0.5697011975351703,97.0,0.9156126109118368,168.0,0.9267431597528683,182.0,0.7816190680695725,1.8506719669819987,Retail,Luxury Retail,Company
Finance,55.0,0.9881422924901186,104.0,1.7350684017350686,83.0,1.1126005361930296,176.0,1.9353419837255328,259.0,0.9499706572769955,269,1.2876974629009097,240.0,4.623386630706992,220.0,1.2789210556911987,156.0,1.4725316216726447,166.0,0.9157105030891436,269.0,1.1552501610478845,1.6743388005506055,Retail,Luxury Retail,Company
Analyst,74.0,1.329500538986705,87.0,1.4514514514514516,103.0,1.3806970509383378,160.0,1.7594018033868484,327.0,1.1993838028169013,234,1.1201531833413116,208.0,4.006935079946059,203.0,1.1800953377514243,142.0,1.3403813479327917,217.0,1.1970432480141215,263.0,1.1294824994631736,1.5474915922445418,Retail,Luxury Retail,Company
Adult Content,207.0,3.71900826446281,52.0,0.8675342008675343,65.0,0.871313672922252,49.0,0.5388168022872223,394.0,1.4451291079812205,262,1.2541886069889903,38.0,0.7320362165286071,171.0,0.9940704569236135,119.0,1.1232773267887481,301.0,1.6604148278905557,309.0,1.327034571612626,1.5441149755413803,Retail,Luxury Retail,Company
Fan Account,88.0,1.58102766798419,75.0,1.2512512512512513,51.0,0.6836461126005363,60.0,0.6597756762700681,314.0,1.1517018779342725,251,1.2015318334131166,18.0,0.3467539973030244,268.0,1.5579583769329146,97.0,0.9156126109118368,249.0,1.3735657546337157,323.0,1.3871591153102854,1.2671709911818725,Retail,Luxury Retail,Company
Esthetician,153.0,2.7488321954725117,4.0,0.06673340006673341,8.0,0.10723860589812331,7.0,0.0769738288981746,47.0,0.17238849765258218,45,0.21541407371948304,2.0,0.03852822192255827,30.0,0.17439832577607256,18.0,0.16990749480838205,26.0,0.14342453662842009,41.0,0.17607902082885973,1.205633849853233,Retail,Luxury Retail,Company
Singer,59.0,1.0600071864894,50.0,0.8341675008341675,35.0,0.4691689008042896,55.0,0.6047943699142291,299.0,1.0966842723004695,226,1.0818573480134037,56.0,1.0787902138316314,178.0,1.0347633996046972,138.0,1.3026241268642624,182.0,1.0039717563989405,235.0,1.0092334120678548,1.0380679029074118,Retail,Luxury Retail,Company
Wellness,68.0,1.221703197987783,60.0,1.001001001001001,34.0,0.4557640750670241,99.0,1.0886298658456124,193.0,0.7078931924882628,260,1.2446146481570128,53.0,1.0209978809477942,225.0,1.3079874433205443,98.0,0.9250519161789692,126.0,0.6950573698146513,204.0,0.8761004938801803,1.0084480894622387,Retail,Luxury Retail,Company
Skincare,75.0,1.3474667624865255,16.0,0.26693360026693363,4.0,0.053619302949061656,17.0,0.18693644160985265,191.0,0.7005575117370892,185,0.8855911919578747,10.0,0.19264110961279132,155.0,0.9010580165097081,108.0,1.0194449688502925,132.0,0.728155339805825,206.0,0.8846897144084173,0.8520630055299201,Retail,Luxury Retail,Company
Veteran,47.0,0.8444125044915558,39.0,0.6506506506506506,62.0,0.8310991957104559,124.0,1.3635363976248074,96.0,0.352112676056338,76,0.36381043561512694,87.0,1.6759776536312845,57.0,0.33135681897453784,47.0,0.4436473475552199,57.0,0.31443071491615177,66.0,0.283444277431823,0.7510561074900366,Retail,Luxury Retail,Company
Activism,71.0,1.2756018684872443,44.0,0.7340674007340674,20.0,0.2680965147453084,50.0,0.54981306355839,135.0,0.4951584507042254,170,0.813786500718047,68.0,1.309959545366981,138.0,0.8022322985699336,82.0,0.7740230319048518,84.0,0.4633715798764341,141.0,0.6055400472407128,0.7462302412853657,Retail,Luxury Retail,Company
Vegan,99.0,1.7786561264822136,37.0,0.6172839506172839,38.0,0.5093833780160858,57.0,0.6267868924565646,131.0,0.48048708920187794,153,0.7324078506462424,20.0,0.38528221922558265,117.0,0.680153470526683,75.0,0.7079478950349253,89.0,0.4909532215357456,157.0,0.6742538114666092,0.7388946263558349,Retail,Luxury Retail,Company
Mixed Martial Arts,9.0,0.16169601149838306,51.0,0.8508508508508509,87.0,1.1662198391420913,103.0,1.1326149109302834,58.0,0.21273474178403756,54,0.25849688846337965,63.0,1.2136389905605853,43.0,0.24997093361237066,41.0,0.3870115159524259,31.0,0.17100617828773162,43.0,0.1846682413570968,0.6956843412324696,Retail,Luxury Retail,Company
Make Up Artist,102.0,1.8325547969816744,9.0,0.15015015015015018,2.0,0.026809651474530828,4.0,0.04398504508467121,72.0,0.26408450704225345,113,0.5409286740067019,8.0,0.15411288769023307,70.0,0.40692942681083594,46.0,0.4342080422880874,48.0,0.2647837599293909,83.0,0.356452651921838,0.6474456881619842,Retail,Luxury Retail,Company
Comedy,24.0,0.43118936399568814,46.0,0.7674341007674341,47.0,0.6300268096514746,57.0,0.6267868924565646,148.0,0.5428403755868545,128,0.6127333652465295,44.0,0.8476208822962819,92.0,0.5348215323799558,58.0,0.5474797054936756,80.0,0.44130626654898486,119.0,0.511058621430105,0.5742966460569148,Retail,Luxury Retail,Company
Activist,38.0,0.6827164929931729,21.0,0.35035035035035034,15.0,0.20107238605898123,19.0,0.20892896415218823,127.0,0.4658157276995305,111,0.5313547151747249,55.0,1.0595261028703522,72.0,0.4185559818625741,57.0,0.5380404002265433,64.0,0.35304501323918785,113.0,0.4852909598453939,0.5129137564708587,Retail,Luxury Retail,Company
