jobs,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Teacher,229.0,2.6379449372192143,89.0,0.8897330800759773,79.0,0.7750416952810751,210.0,1.4973262032085561,674.0,2.5420532548842125,479,2.14711551391815,189.0,2.3604346197077555,404.0,2.286878750141515,341.0,2.8240165631469987,447.0,2.671846981470412,592,2.5124135296863725,2.361486705817409,Retail,Luxury Retail,Company
Management,75.0,0.8639557654648081,162.0,1.6195141457562734,141.0,1.3833022662611594,217.0,1.5472370766488412,334.0,1.2597118503432152,495,2.218835447577211,252.0,3.1472461596103405,394.0,2.230272840484546,265.0,2.1946169772256736,217.0,1.297071129707113,458,1.943725332088443,1.9276142894829977,Retail,Luxury Retail,Company
Gamer,68.0,0.783319894021426,201.0,2.0093971808457463,310.0,3.041302854900421,343.0,2.4456327985739748,452.0,1.7047597495662672,183,0.8202967412255145,163.0,2.0357187460971646,168.0,0.9509792822370655,133.0,1.1014492753623193,218.0,1.3030484160191274,232,0.9845944913635782,1.7442517753391547,Retail,Luxury Retail,Company
Educator,370.0,4.262181776293053,52.0,0.5198440467859643,39.0,0.3826155204552143,115.0,0.819964349376114,244.0,0.9202685373764804,191,0.8561567080550451,84.0,1.049082053203447,141.0,0.7981433261632513,98.0,0.811594202898551,186.0,1.1117752540346681,221,0.9379111318592707,1.605740607828371,Retail,Luxury Retail,Company
Author,229.0,2.6379449372192143,70.0,0.6997900629811057,62.0,0.6082605709800842,94.0,0.6702317290552584,377.0,1.421890322093988,338,1.5150835985476714,188.0,2.3479455476458098,269.0,1.522698969772444,200.0,1.6563146997929612,232.0,1.3867304243873282,355,1.5065993294571995,1.5910465977225938,Retail,Luxury Retail,Company
Stylist,122.0,1.4053680451560877,100.0,0.9997000899730083,67.0,0.6573138428333168,113.0,0.8057040998217468,259.0,0.9768424228709364,468,2.0978080595275452,16.0,0.19982515299113274,383.0,2.1680063398618814,171.0,1.4161490683229816,162.0,0.9683203825463239,385,1.6339175826507655,1.559624734296409,Retail,Luxury Retail,Company
Editor,205.0,2.361479092270476,175.0,1.7494751574527643,158.0,1.5500833905621503,232.0,1.6541889483065952,318.0,1.1993663724824621,280,1.2550988390335742,126.0,1.5736230798051702,300.0,1.6981772897090452,150.0,1.2422360248447208,171.0,1.022115959354453,310,1.3156219496668502,1.4962731099817168,Retail,Luxury Retail,Company
Influencer,71.0,0.8178781246400183,78.0,0.7797660701789464,58.0,0.5690179534974981,102.0,0.7272727272727272,427.0,1.610469940408841,358,1.6047335156214981,66.0,0.8242787560884224,255.0,1.4434506962526885,156.0,1.2919254658385098,293.0,1.7513448894202033,366,1.553282688961507,1.4322463846781406,Retail,Luxury Retail,Company
Chef,120.0,1.382329224743693,126.0,1.2596221133659904,146.0,1.4323555381143918,250.0,1.7825311942959003,348.0,1.3125141434713739,253,1.134071450983908,120.0,1.4986886474334957,190.0,1.0755122834823958,155.0,1.2836438923395448,232.0,1.3867304243873282,310,1.3156219496668502,1.3492189498399507,Retail,Luxury Retail,Company
Musician,75.0,0.8639557654648081,141.0,1.4095771268619417,148.0,1.451976846855685,143.0,1.0196078431372548,405.0,1.5274949083503058,247,1.10717647586176,145.0,1.8109154489821404,178.0,1.0075851918940335,154.0,1.2753623188405803,245.0,1.4644351464435146,280,1.188303696473284,1.3170763197004025,Retail,Luxury Retail,Company
Creative Director,127.0,1.4629650961870748,200.0,1.9994001799460166,146.0,1.4323555381143918,300.0,2.13903743315508,186.0,0.7015161801312514,197,0.8830516831771933,48.0,0.5994754589733982,165.0,0.9339975093399752,74.0,0.6128364389233956,87.0,0.520023909145248,200,0.8487883546237744,1.2625369892364442,Retail,Luxury Retail,Company
Journalist,126.0,1.4514456859808778,67.0,0.6697990602819155,48.0,0.47091140979103296,88.0,0.6274509803921569,277.0,1.044731085464283,299,1.3402662602537094,136.0,1.6985138004246285,247.0,1.3981659685271142,158.0,1.308488612836439,164.0,0.9802749551703526,330,1.4005007851292277,1.2380024090510882,Retail,Luxury Retail,Company
Blogger,94.0,1.0828245593825594,46.0,0.45986204138758374,37.0,0.36299421171392127,80.0,0.5704099821746881,238.0,0.8976389831786983,335,1.5016361109865974,59.0,0.7368552516548019,317.0,1.7944073361258912,159.0,1.3167701863354042,144.0,0.8607292289300658,284,1.2052794635657598,1.2195211063668128,Retail,Luxury Retail,Company
Traveling,118.0,1.359290404331298,91.0,0.9097270818754375,89.0,0.8731482389875403,152.0,1.083778966131907,306.0,1.1541072640868975,260,1.1654489219597475,129.0,1.6110902959910078,191.0,1.0811728744480924,157.0,1.3002070393374745,202.0,1.2074118350268976,301,1.2774264737087804,1.1967281074368785,Retail,Luxury Retail,Company
Attorney,164.0,1.88918327381638,69.0,0.6897930620813756,44.0,0.43166879230844696,144.0,1.0267379679144384,204.0,0.7694048427245984,220,0.9861490878120941,177.0,2.2105657549644055,173.0,0.9792822370655497,147.0,1.2173913043478264,150.0,0.8965929468021518,231,0.9803505495904594,1.1600518084858502,Retail,Luxury Retail,Company
Host,164.0,1.88918327381638,111.0,1.109667099870039,148.0,1.451976846855685,224.0,1.5971479500891266,204.0,0.7694048427245984,154,0.6903043614684659,102.0,1.2738853503184713,110.0,0.6226650062266501,89.0,0.7370600414078677,118.0,0.7053197848176928,172,0.7299579849764459,1.0913073852476067,Retail,Luxury Retail,Company
