jobs,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Coach,436,1.6305770597254947,871,2.3694877444979463,396,1.1077542799597182,158.0,1.0029835586872342,340.0,1.5496103185816508,302.0,1.0892303253264086,297.0,1.125938281901585,473.0,1.651132753866024,370,1.9645322289476475,504.0,2.0031000357696445,793,1.9079469720665014,107.0,1.3257341097757402,759,2.033871054182968,489,1.8660560961648536,181.0,0.8910549894156452,620.0,2.0080321285140563,219.0,1.8011349617567234,206.0,1.3629747254201403,484,1.6344173167190088,280.0,1.3085946628031968,1.7416479374397422,Music,Rapper,Person
Teacher,557,2.0830995923557354,672,1.8281237248020894,262,0.7329081347208236,308.0,1.9551831397194186,183.0,0.8340549655895355,458.0,1.6518791026473345,163.0,0.6179391917507016,470.0,1.6406604531015463,327,1.7362217266645423,322.0,1.2797583561861616,703,1.691408223660467,227.0,2.812538718870029,711,1.9052467977919498,456,1.7401259301659988,213.0,1.0485895731797372,424.0,1.3732348749838066,116.0,0.9540258244921458,103.0,0.6814873627100702,234,0.7901934960996861,478.0,2.2339580314997427,1.6459578426433892,Music,Rapper,Person
Editor,333,1.2453719286435545,695,1.8906934356212088,446,1.2476222446010967,381.0,2.4185869358217484,211.0,0.9616699330021421,610.0,2.200100988242083,332.0,1.2586246114186066,286.0,0.9983593395468983,180,0.9557183816502067,194.0,0.771034537577998,528,1.2703606573154007,78.0,0.9664229959112872,715,1.9159654858245352,559,2.13318069070788,565.0,2.7814699945847488,396.0,1.2825495530509137,154.0,1.266551525618883,131.0,0.8667460632526136,303,1.023199270590619,231.0,1.0795905968126374,1.6419981493806473,Music,Rapper,Person
Director,324,1.2117132278694047,619,1.6839413476971625,382,1.0685912498601322,238.0,1.5108233352377325,214.0,0.9753429652249214,384.0,1.3849816057130493,265.0,1.004625066343165,364.0,1.2706391594233253,205,1.088457045768291,420.0,1.6692500298080368,614,1.4772754613478334,79.0,0.9788130343204064,826,2.2134090787287635,581,2.2171341347071163,314.0,1.5458081031851523,440.0,1.4250550589454594,114.0,0.9375771033802123,198.0,1.310043668122271,297,1.0029378988957554,198.0,0.9253633686965462,1.5060521522907793,Music,Rapper,Person
Influencer,407,1.5221212461199,344,0.93582524007726,440,1.2308380888441315,151.0,0.9585475782390656,354.0,1.6134178022879542,301.0,1.0856236023948642,383.0,1.4519675487148385,401.0,1.3997975355185532,283,1.502601677816714,325.0,1.2916815706847904,546,1.3136684069966076,128.0,1.5859249163672409,377,1.0102363470711184,238,0.9082236214462888,161.0,0.7925958745630877,347.0,1.1238502396683507,192.0,1.5790772267456203,186.0,1.2306470821754667,459,1.5499949346570765,350.0,1.6357433285039962,1.3084916217994105,Music,Rapper,Person
Fortnie,132,0.4936609446875352,469,1.2758780162681251,525,1.4686136287344749,168.0,1.0664635307560464,229.0,1.0437081263388177,646.0,2.3299430137776813,377.0,1.4292213207976348,195.0,0.680699549691067,88,0.4672400976956566,48.0,0.19077143197806137,447,1.07547578374997,77.0,0.9540329575021683,334,0.8950104507208315,182,0.6945239458118678,235.0,1.1568945995175504,196.0,0.6347972535302501,155.0,1.27477588617485,132.0,0.8733624454148473,440,1.4858339242900078,134.0,0.6262560171986727,1.2490117700788603,Music,Rapper,Person
Chef,380,1.4211451437974498,367,0.9983949508963792,397,1.1105516392525459,166.0,1.053767536342284,270.0,1.2305729000501344,286.0,1.031522758421698,265.0,1.004625066343165,401.0,1.3997975355185532,287,1.5238398640756077,329.0,1.3075791900162954,500,1.20299304670019,116.0,1.4372444554578119,354,0.9486038908837557,285,1.087578706353749,189.0,0.9304386353566683,365.0,1.1821479466252107,130.0,1.0691668722756806,149.0,0.9858409421728201,318,1.0738526998277786,305.0,1.4254334719820536,1.182463663924901,Music,Rapper,Person
Author,418,1.563259658177195,383,1.04192170624881,283,0.7916526798702026,180.0,1.1426394972386211,182.0,0.8294972881819425,306.0,1.1036572170525862,168.0,0.6368943816817045,295.0,1.0297762418403322,225,1.1946479770627587,350.0,1.3910416915066972,501,1.2053990327935904,117.0,1.4496344938669312,554,1.4845382925129962,368,1.4043121541690513,189.0,0.9304386353566683,373.0,1.208058038606037,104.0,0.8553334978205445,132.0,0.8733624454148473,227,0.766555229122345,279.0,1.3039211104360424,1.1747557613752384,Music,Rapper,Person
Host,332,1.2416320730019825,506,1.376533638020621,295,0.8252209913841336,208.0,1.3203834190312953,202.0,0.9206508363338042,301.0,1.0856236023948642,209.0,0.7923269391159301,233.0,0.8133486927077876,155,0.8229797175321225,311.0,1.2360399030245224,415,0.9984842287611576,63.0,0.7805724197745013,442,1.1844150276006216,350,1.3356229727151305,200.0,0.9845911485255747,322.0,1.042881202228268,83.0,0.6826219261452421,139.0,0.9196771205504831,213,0.719278695167663,179.0,0.836565873720615,1.0626881926393543,Music,Rapper,Person
Comedian,261,0.9761023224503537,352,0.9575886177534755,317,0.8867628958263402,149.0,0.945851583825303,203.0,0.9252085137413972,235.0,0.8475798889129338,228.0,0.8643566608537421,318.0,1.110063881034663,267,1.4176489327811401,257.0,1.0214220420492035,376,0.9046507711185429,107.0,1.3257341097757402,292,0.7824642263786912,204,0.7784773898111046,176.0,0.8664402107025059,263.0,0.8517942738696722,126.0,1.0362694300518134,112.0,0.7410348021701736,289,0.9759227366359371,329.0,1.537598728793756,0.9955243035538199,Music,Rapper,Person
