interests,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Photography,243.0,1.1778962675714977,447,2.24172517552658,314.0,2.205675751615623,230.0,2.0442627322015827,165.0,1.7656500802568211,328.0,1.9829514539628803,208.0,2.0384163073304586,266.0,1.8578013689062718,134.0,1.6094162863319723,183.0,1.8535399574597384,388,1.8413059984813969,73.0,1.6957026713124272,428.0,2.0933189865988457,345.0,2.8495911456182372,277.0,2.8767265551978403,306.0,2.2924782738987117,86.0,1.7961570593149547,126.0,1.7920637178210783,214.0,1.4583617282267958,191.0,1.6624597441030546,2.037825345255715,Music,Rapper,Person
Technology,195.0,0.9452253999030537,239,1.1985957873620865,231.0,1.6226468109019392,119.0,1.0576837614434276,121.0,1.2948100588550024,213.0,1.2877093283356509,160.0,1.5680125441003527,274.0,1.9136750942869114,180.0,2.1619024741772765,270.0,2.7347310847766626,456,2.164009111617312,82.0,1.9047619047619042,640.0,3.1301966154749095,299.0,2.4696456595358054,142.0,1.474711808079759,314.0,2.3524123464189395,83.0,1.7335004177109443,98.0,1.3938273360830609,199.0,1.3561401117623006,254.0,2.2108103403255286,2.0244846673857517,Music,Rapper,Person
Bitcoin Enthusiast,112.0,0.5428986912263692,172,0.8625877632898697,183.0,1.28547344759764,43.0,0.3821882499333394,155.0,1.6586409844836805,101.0,0.6106039538117406,157.0,1.5386123088984713,237.0,1.6552591144014528,102.0,1.2250780687004568,180.0,1.8231540565177755,365,1.7321564160971903,46.0,1.0685249709639952,667.0,3.2622517851902573,206.0,1.7014950028908893,66.0,0.6854294319243951,170.0,1.2735990410548397,43.0,0.8980785296574774,156.0,2.2187455553975255,241.0,1.6423606378628868,67.0,0.5831665070937418,1.7745120082279093,Music,Rapper,Person
Blogger,266.0,1.289384391662627,239,1.1985957873620865,264.0,1.8544534981736447,86.0,0.7643764998666788,172.0,1.8405564472980196,172.0,1.039840396590291,189.0,1.8522148177185418,249.0,1.7390697024724122,167.0,2.0057650732644725,262.0,2.6537020155980953,352,1.6704631738800304,78.0,1.8118466898954702,265.0,1.2960970360950796,183.0,1.5115222598496736,92.0,0.9554470869249144,233.0,1.7455798621516334,98.0,2.0467836257309946,108.0,1.53605461527521,226.0,1.5401390213983916,221.0,1.923579075637566,1.6515028934574933,Music,Rapper,Person
Finance,101.0,0.4895782840523508,201,1.00802407221665,142.0,0.9974711997752178,54.0,0.479957337125589,94.0,1.0058855002675224,100.0,0.6045583701106343,105.0,1.0290082320658567,132.0,0.9219164687805559,98.0,1.1770357914965173,173.0,1.7522536209865287,293,1.390470766894457,42.0,0.9756097560975608,428.0,2.0933189865988457,138.0,1.1398364582472948,75.0,0.7788970817322671,170.0,1.2735990410548397,54.0,1.1278195488721805,90.0,1.2800455127293418,115.0,0.7836990595611286,108.0,0.9400295935242405,1.2411211602874748,Music,Rapper,Person
Veteran,138.0,0.6689287445467764,226,1.1334002006018056,141.0,0.9904467547063783,84.0,0.7466003021953607,104.0,1.1128945960406633,142.0,0.8584728855571008,84.0,0.8232065856526853,186.0,1.2990641150998743,137.0,1.645447994234927,134.0,1.3572369087410106,223,1.0582763857251327,31.0,0.7200929152148663,273.0,1.335224493788516,159.0,1.3132898323284048,71.0,0.7373559040398795,183.0,1.3709919089002098,51.0,1.0651629072681708,76.0,1.080927321860333,107.0,0.7291808641133979,137.0,1.1924449473409346,1.1236681746297035,Music,Rapper,Person
Comedy,175.0,0.8482792050412019,151,0.757271815446339,156.0,1.0958134307389717,71.0,0.6310550173317929,106.0,1.1342964151952912,127.0,0.7677891300405056,95.0,0.9310074480595845,203.0,1.4177957815337336,133.0,1.5974057170309874,134.0,1.3572369087410106,254,1.2053910402429764,61.0,1.4169570267131237,178.0,0.8705859336789592,126.0,1.0407202444866606,79.0,0.8204382594246549,162.0,1.2136649685346121,49.0,1.0233918128654973,67.0,0.9529227705873989,131.0,0.8927354504565898,174.0,1.514492122900165,1.1023804705252536,Music,Rapper,Person
Activism,156.0,0.756180319922443,164,0.8224674022066201,147.0,1.0325934251194158,77.0,0.6843836103457474,88.0,0.941680042803638,118.0,0.7133788767305485,80.0,0.7840062720501764,159.0,1.110490291940215,103.0,1.2370886380014414,157.0,1.5901954826293931,261,1.2386104783599088,48.0,1.1149825783972123,219.0,1.0711141543578206,175.0,1.4454447840092506,86.0,0.893135320386333,200.0,1.4983518130056939,55.0,1.1487050960735175,49.0,0.6969136680415304,94.0,0.6405887965108354,149.0,1.2968926799547393,1.0956814805524413,Music,Rapper,Person
Mixed Martial Arts,75.0,0.3635482307319437,283,1.41925777331996,170.0,1.1941556617027258,71.0,0.6310550173317929,83.0,0.8881754949170676,129.0,0.7798802974427181,76.0,0.7448059584476676,138.0,0.9638217628160358,104.0,1.2490992073024263,72.0,0.7292616226071102,225,1.067767653758542,8.0,0.18583042973286873,245.0,1.1982783918614888,159.0,1.3132898323284048,123.0,1.277391214040918,147.0,1.101288582559185,45.0,0.9398496240601507,61.0,0.8675864030721094,89.0,0.6065149243560038,43.0,0.37427104186613275,1.0449701847406545,Music,Rapper,Person
FX Trading,74.0,0.35870092098885115,80,0.40120361083249756,181.0,1.2714245574599607,19.0,0.16887387787752206,120.0,1.2841091492776882,56.0,0.3385526872619552,149.0,1.4602116816934536,131.0,0.914932253107976,97.0,1.1650252221955322,146.0,1.4787805125088624,195,0.9253986332574029,37.0,0.8594657375145177,170.0,0.8314584759855229,90.0,0.7433716032047575,40.0,0.4154117769238758,158.0,1.183697932274498,47.0,0.9816207184628238,80.0,1.1378182335371925,161.0,1.0971786833855797,95.0,0.826877883192619,1.010287683839629,Music,Rapper,Person
Activist,133.0,0.6446921958313135,154,0.7723169508525578,113.0,0.7937622927788707,68.0,0.6043907208248158,73.0,0.7811663991439269,98.0,0.5924672027084215,67.0,0.6566052528420228,145.0,1.0127112725240957,91.0,1.0929618063896231,128.0,1.2964651068570845,160,0.759301442672741,57.0,1.3240418118466895,206.0,1.0075320356059867,133.0,1.0985380358470305,76.0,0.7892823761553641,129.0,0.9664369193886725,40.0,0.8354218880534673,41.0,0.5831318446878113,72.0,0.4906637590295762,154.0,1.3404125685438244,0.9079291210711011,Music,Rapper,Person
