nationality,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Germany,41.0,0.5421129181541717,151.0,2.1986022131624936,113.0,1.6388687454677298,135.0,1.7575836479625049,419,2.0350672689300113,478.0,2.4537987679671462,200.0,3.078817733990148,386.0,2.418091837373928,315.0,2.7743526510480887,287.0,2.0170075198538195,685.0,3.0100628378081464,2.4505086618429157,Retail,Luxury Retail,Company
Spain,33.0,0.43633478778262597,152.0,2.213162492719861,109.0,1.5808556925308188,97.0,1.2628563989063921,417,2.025353344018651,503.0,2.5821355236139634,192.0,2.9556650246305427,444.0,2.7814320616425485,279.0,2.4572837766425932,314.0,2.2067608405369312,573.0,2.5179065781957193,2.381209658824288,Retail,Luxury Retail,Company
Ukraine,30.0,0.39666798889329624,59.0,0.8590564938846829,70.0,1.0152284263959388,71.0,0.9243588074469469,422,2.049638156297052,261.0,1.339835728952772,123.0,1.8934729064039413,225.0,1.4095094906972374,190.0,1.6734190593623393,326.0,2.2910956497294253,382.0,1.6786043854638135,1.699877140541385,Retail,Luxury Retail,Company
Trinidad & Tobago,296.0,3.91379082374719,57.0,0.829935934769948,67.0,0.9717186366932556,104.0,1.3539903658377814,99,0.4808392831123416,89.0,0.4568788501026694,14.0,0.2155172413793104,62.0,0.3883981707699054,39.0,0.3434912806059539,46.0,0.32328343523789443,74.0,0.32517467152963925,1.6677950761654756,Retail,Luxury Retail,Company
Pakistan,20.0,0.2644453259288642,49.0,0.7134536983110078,41.0,0.5946337926033355,53.0,0.6900143210519463,446,2.166205255233377,298.0,1.5297741273100618,142.0,2.1859605911330053,203.0,1.2716907849401742,217.0,1.9112207151664613,237.0,1.6656124815517603,305.0,1.3402469569802697,1.6459567998520166,Retail,Luxury Retail,Company
Algeria,10.0,0.1322226629644321,58.0,0.8444962143273154,34.0,0.49311094996374166,21.0,0.2734019007941674,280,1.359949487590461,262.0,1.344969199178645,33.0,0.5080049261083744,240.0,1.5034767900770534,177.0,1.5589219658270215,380.0,2.6706022910956495,352.0,1.5467768159247703,1.634434269593679,Retail,Luxury Retail,Company
Ghana,301.0,3.9799021552294063,137.0,1.9947582993593485,66.0,0.957215373459028,76.0,0.989454498112225,245,1.1899558016416532,195.0,1.0010266940451744,47.0,0.7235221674876848,120.0,0.7517383950385267,90.0,0.7926721860137398,160.0,1.1244641225665892,181.0,0.7953596695522256,1.6166721723111925,Retail,Luxury Retail,Company
Australia,20.0,0.2644453259288642,112.0,1.6307513104251607,132.0,1.914430746918056,127.0,1.65343054289806,397,1.9282140949050466,276.0,1.4168377823408627,117.0,1.801108374384237,222.0,1.3907160308212743,150.0,1.3211203100228994,226.0,1.5883055731253073,303.0,1.3314584523443336,1.578865259445812,Retail,Luxury Retail,Company
Venezuela,28.0,0.37022345630040987,45.0,0.6552125800815377,28.0,0.40609137055837546,34.0,0.4426506965238901,264,1.2822380882995776,253.0,1.2987679671457906,71.0,1.0929802955665027,251.0,1.5723861429555848,181.0,1.5941518407609652,137.0,0.962822404947642,377.0,1.6566331238739727,1.3484961169320693,Retail,Luxury Retail,Company
Morocco,20.0,0.2644453259288642,67.0,0.9755387303436228,39.0,0.5656272661348801,39.0,0.507746387189168,251,1.2190975763757348,216.0,1.108829568788501,50.0,0.769704433497537,198.0,1.2403683518135689,121.0,1.0657037167518058,262.0,1.84131000070279,313.0,1.3754009755240144,1.2588605856877813,Retail,Luxury Retail,Company
