nationality,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
Guinea,34.0,0.44955705407906915,12.0,0.17472335468841008,5.0,0.07251631617113849,13.0,0.16924879572972268,22,0.10685317402496478,34.0,0.17453798767967146,4.0,0.061576354679802964,35.0,0.21925703188623694,16.0,0.14091949973577597,41.0,0.28814393140768846,25.0,0.10985630794920244,0.2197710367091478,Retail,Luxury Retail,Company
Paraguay,4.0,0.052889065185772834,8.0,0.11648223645894006,2.0,0.02900652646845539,6.0,0.07811482879833354,47,0.2282772354169703,47.0,0.24127310061601645,12.0,0.18472906403940892,35.0,0.21925703188623694,27.0,0.23780165580412194,36.0,0.2530044275774826,49.0,0.21531836358043674,0.21871476472939622,Retail,Luxury Retail,Company
Afghanistan,8.0,0.10577813037154567,18.0,0.26208503203261513,17.0,0.24655547498187083,17.0,0.22132534826194505,65,0.3157025596192142,23.0,0.11806981519507187,9.0,0.1385467980295567,19.0,0.11902524588110006,12.0,0.10568962480183196,22.0,0.15461381685290604,34.0,0.14940457881091532,0.2049669579565731,Retail,Luxury Retail,Company
Bolivia,6.0,0.07933359777865927,12.0,0.17472335468841008,5.0,0.07251631617113849,9.0,0.11717224319750032,40,0.1942784982272087,46.0,0.23613963039014374,4.0,0.061576354679802964,37.0,0.23178600513687905,27.0,0.23780165580412194,23.0,0.16164171761894722,48.0,0.21092411126246866,0.20120048910867838,Retail,Luxury Retail,Company
Croatia,4.0,0.052889065185772834,14.0,0.2038439138031451,12.0,0.17403915881073234,9.0,0.11717224319750032,28,0.1359949487590461,36.0,0.18480492813141686,11.0,0.16933497536945818,35.0,0.21925703188623694,25.0,0.22018671833714992,20.0,0.14055801532082365,38.0,0.1669815880827877,0.1761510197566862,Retail,Luxury Retail,Company
Uruguay,1.0,0.013222266296443208,6.0,0.08736167734420504,4.0,0.05801305293691078,6.0,0.07811482879833354,35,0.16999368594880762,36.0,0.18480492813141686,13.0,0.20012315270935963,30.0,0.18793459875963167,24.0,0.21137924960366392,24.0,0.16866961838498837,39.0,0.1713758404007558,0.17378605271195574,Retail,Luxury Retail,Company
Botswana,3.0,0.039666798889329634,22.0,0.32032615026208516,11.0,0.15953589557650466,8.0,0.10415310506444472,43,0.20884938559424937,27.0,0.13860369609856263,9.0,0.1385467980295567,28.0,0.17540562550898955,15.0,0.13211203100228996,18.0,0.1265022137887413,27.0,0.11864481258513862,0.17107833042205228,Retail,Luxury Retail,Company
Bahrain,1.0,0.013222266296443208,3.0,0.04368083867210252,2.0,0.02900652646845539,,,32,0.15542279858176697,23.0,0.11806981519507187,25.0,0.3848522167487685,17.0,0.10649627263045794,18.0,0.15853443720274793,12.0,0.08433480919249418,27.0,0.11864481258513862,0.16495126695342494,Retail,Luxury Retail,Company
Czechia,3.0,0.039666798889329634,11.0,0.16016307513104258,12.0,0.17403915881073234,13.0,0.16924879572972268,29,0.14085191121472632,32.0,0.1642710472279261,17.0,0.26169950738916264,20.0,0.12528973250642111,22.0,0.19376431213669196,19.0,0.13353011455478248,37.0,0.16258733576481962,0.16409852163923694,Retail,Luxury Retail,Company
Togo,22.0,0.2908898585217506,7.0,0.10192195690157255,6.0,0.08701957940536617,3.0,0.03905741439916677,24,0.11656709893632523,25.0,0.12833675564681726,2.0,0.030788177339901482,18.0,0.112760759255779,12.0,0.10568962480183196,37.0,0.2600323283435238,22.0,0.09667355099529815,0.16216803011558542,Retail,Luxury Retail,Company
Benin,9.0,0.11900039666798887,6.0,0.08736167734420504,,,5.0,0.06509569066527796,17,0.0825683617465637,23.0,0.11806981519507187,6.0,0.09236453201970446,18.0,0.112760759255779,11.0,0.09688215606834598,24.0,0.16866961838498837,21.0,0.09227929867733003,0.11196743339656758,Retail,Luxury Retail,Company
Cyprus,1.0,0.013222266296443208,2.0,0.029120559114735014,2.0,0.02900652646845539,8.0,0.10415310506444472,22,0.10685317402496478,27.0,0.13860369609856263,8.0,0.12315270935960593,18.0,0.112760759255779,11.0,0.09688215606834598,10.0,0.07027900766041183,25.0,0.10985630794920244,0.10884766966235562,Retail,Luxury Retail,Company
Bermuda,11.0,0.1454449292608753,1.0,0.014560279557367507,5.0,0.07251631617113849,5.0,0.06509569066527796,5,0.024284812278401086,4.0,0.020533880903490762,4.0,0.061576354679802964,3.0,0.01879345987596317,2.0,0.017614937466971996,5.0,0.03513950383020591,3.0,0.013182756953904291,0.06373407466476738,Retail,Luxury Retail,Company
American Samoa,4.0,0.052889065185772834,5.0,0.07280139778683753,7.0,0.10152284263959387,7.0,0.09113396693138914,5,0.024284812278401086,4.0,0.020533880903490762,,,6.0,0.03758691975192634,2.0,0.017614937466971996,5.0,0.03513950383020591,4.0,0.01757700927187239,0.053764845946207125,Retail,Luxury Retail,Company
Anguilla,7.0,0.09255586407510247,,,,,1.0,0.01301913813305559,3,0.014570887367040654,2.0,0.010266940451745381,,,2.0,0.01252897325064211,,,1.0,0.007027900766041184,,,0.047327661058169435,Retail,Luxury Retail,Company
Aruba,1.0,0.013222266296443208,2.0,0.029120559114735014,1.0,0.014503263234227695,1.0,0.01301913813305559,5,0.024284812278401086,5.0,0.025667351129363452,2.0,0.030788177339901482,4.0,0.02505794650128422,2.0,0.017614937466971996,2.0,0.014055801532082367,3.0,0.013182756953904291,0.021908731874170737,Retail,Luxury Retail,Company
