city,telfarglobal_count,telfarglobal_percent,offwht_count,offwht_percent,bapeofficial_count,bapeofficial_percent,kith_count,kith_percent,gucci_count,gucci_percent,fendi_count,fendi_percent,rolex_count,rolex_percent,givenchy_count,givenchy_percent,armani_count,armani_percent,louisvuitton_count,louisvuitton_percent,prada_count,prada_percent,w_avg,Category Level 1,Category Level 2,Entity
DMV,108.0,4.821428571428571,25.0,1.9952114924181967,40.0,2.4829298572315333,90.0,2.2607385079125843,24.0,1.2320328542094456,20.0,1.1883541295306002,8.0,1.0269576379974323,18.0,1.4516129032258065,6.0,0.6904487917146146,13.0,1.0204081632653061,20.0,1.1305822498586773,2.6910710788971173,Retail,Luxury Retail,Company
Bronx,60.0,2.678571428571428,35.0,2.7932960893854752,35.0,2.1725636250775913,108.0,2.7128862094951014,22.0,1.1293634496919918,27.0,1.6042780748663104,12.0,1.5404364569961486,13.0,1.0483870967741937,17.0,1.9562715765247412,16.0,1.2558869701726845,25.0,1.4132278123233466,2.2066712530658474,Retail,Luxury Retail,Company
Cleveland,15.0,0.669642857142857,29.0,2.3144453312051083,35.0,2.1725636250775913,70.0,1.758352172820899,33.0,1.6940451745379879,26.0,1.5448603683897804,23.0,2.952503209242618,19.0,1.532258064516129,15.0,1.726121979286536,29.0,2.276295133437991,17.0,0.9609949123798758,1.857297671649524,Retail,Luxury Retail,Company
Tennessee,18.0,0.8035714285714287,10.0,0.7980845969672785,14.0,0.8690254500310366,19.0,0.4772670183371013,39.0,2.002053388090349,31.0,1.8419489007724301,17.0,2.182284980744544,15.0,1.2096774193548387,15.0,1.726121979286536,25.0,1.9623233908948194,30.0,1.6958733747880161,1.544764725581784,Retail,Luxury Retail,Company
Tampa,14.0,0.625,19.0,1.5163607342378294,20.0,1.2414649286157666,43.0,1.0801306204471237,29.0,1.48870636550308,31.0,1.8419489007724301,18.0,2.310654685494223,21.0,1.693548387096774,19.0,2.186421173762946,15.0,1.1773940345368918,23.0,1.300169587337479,1.4895705695310901,Retail,Luxury Retail,Company
Connecticut,27.0,1.2053571428571428,14.0,1.1173184357541899,25.0,1.5518311607697082,49.0,1.2308465209746293,16.0,0.8213552361396305,23.0,1.36660724896019,12.0,1.5404364569961486,11.0,0.8870967741935484,13.0,1.4959723820483317,17.0,1.3343799058084775,24.0,1.356698699830413,1.2762085721662537,Retail,Luxury Retail,Company
Baltimore,43.0,1.9196428571428572,17.0,1.3567438148443736,14.0,0.8690254500310366,47.0,1.1806078874654609,24.0,1.2320328542094456,15.0,0.8912655971479502,10.0,1.2836970474967906,7.0,0.5645161290322581,8.0,0.9205983889528193,12.0,0.9419152276295133,15.0,0.8479366873940081,1.2470631637327116,Retail,Luxury Retail,Company
New Orleans,37.0,1.6517857142857144,14.0,1.1173184357541899,20.0,1.2414649286157666,23.0,0.5777442853554383,19.0,0.9753593429158112,23.0,1.36660724896019,16.0,2.0539152759948647,15.0,1.2096774193548387,11.0,1.2658227848101267,13.0,1.0204081632653061,17.0,0.9609949123798758,1.246989504221942,Retail,Luxury Retail,Company
Nashville,23.0,1.0267857142857142,12.0,0.9577015163607344,8.0,0.4965859714463066,23.0,0.5777442853554383,23.0,1.180698151950719,18.0,1.0695187165775402,7.0,0.8985879332477533,9.0,0.7258064516129032,6.0,0.6904487917146146,21.0,1.6483516483516485,19.0,1.0740531373657434,1.0104387628744371,Retail,Luxury Retail,Company
Detroit,5.0,0.2232142857142857,4.0,0.3192338387869114,,,2.0,0.050238633509168545,,,,,,,,,,,,,2.0,0.11305822498586773,0.20920003851608826,Retail,Luxury Retail,Company
Lansing,1.0,0.044642857142857144,1.0,0.07980845969672785,,,1.0,0.025119316754584273,1.0,0.051334702258726904,,,1.0,0.12836970474967904,1.0,0.08064516129032256,,,2.0,0.15698587127158556,,,0.09048649305450862,Retail,Luxury Retail,Company
Louisiana,1.0,0.044642857142857144,1.0,0.07980845969672785,2.0,0.12414649286157665,,,1.0,0.051334702258726904,,,,,,,,,1.0,0.07849293563579278,,,0.08376199007620966,Retail,Luxury Retail,Company
